F1,Precision,Recall,Accuracy,Time
0.7631201489089954,0.7938652520417037,0.7346676712828901,0.7351170568561873,131785
0.7883493499902288,0.8090863921623606,0.7686487329183198,0.7618729096989967,339209
0.7861827393155743,0.8216648942455393,0.7536381977617155,0.7612040133779264,166312
0.7875871403354001,0.8196615680811988,0.7579284116331096,0.757190635451505,365888
0.7573491209663341,0.7803574546368177,0.7356587010681253,0.7344481605351171,31802
0.7859302066650675,0.8231898144318527,0.7518974669398398,0.7578595317725753,137126
0.7953639585496215,0.8287607390896188,0.764554512516469,0.7678929765886288,192262
0.7937786036873063,0.8262735326688815,0.763742825120939,0.7678929765886288,232968
0.7749132540271162,0.8057865395994892,0.7463184566368128,0.7538461538461538,123195
0.7767520758725523,0.8034131894111962,0.7518036161833155,0.7551839464882943,189520
0.787683870078946,0.8059696042713058,0.7702094574743283,0.7645484949832776,342579
0.8047074942014568,0.8324421076899431,0.7787613708369581,0.7812709030100334,539278
0.7936614394967918,0.8243393565678949,0.7651849623844769,0.7692307692307693,327879
0.7895307667087196,0.8273304013749874,0.7550342479241784,0.7591973244147158,227192
0.7952577408997893,0.8205357142857143,0.771490681673361,0.7692307692307693,492214
0.7832999894399506,0.8154541241890639,0.7535853976531943,0.7591973244147158,344827
0.784677806607106,0.8129798308392973,0.7582800302100745,0.7578595317725753,218629
0.7973441683461323,0.8234033887950857,0.7728838010144725,0.7745819397993311,442023
0.7710732641232684,0.8075447570332481,0.7377537716520768,0.7438127090301003,122452
0.7835418466961493,0.8138372732270478,0.7554209902747899,0.7558528428093646,541797
0.7933670453162189,0.8144911508980901,0.7733109619686801,0.7739130434782608,244691
0.7913485155157303,0.8191406519638296,0.7653803794107941,0.7745819397993311,795770
0.7846698567315032,0.8208561643835617,0.7515392876320028,0.7538461538461538,70997
0.7898643524944519,0.817654028436019,0.7639015659955257,0.7632107023411371,186880
0.7733686608573447,0.7930610418848599,0.7546305418719212,0.7598662207357859,501251
0.7948061807353015,0.8209941520467836,0.7702372469896558,0.7665551839464882,387415
0.784876611709179,0.8220753945276238,0.7508985690913712,0.7538461538461538,182237
0.7940270768305512,0.8260436036624956,0.7643997951201341,0.7698996655518394,247018
0.7910061235731126,0.8102612365959388,0.7726449275362319,0.7698996655518394,449029
0.8036449061158988,0.8389192733392112,0.7712172330922935,0.7765886287625418,235520
